Thumb,Index,Middle,Ring,Pinky,cluster,gesture
0,2430,0,0,0,1,index_bent
0,2373,0,0,0,1,index_bent
0,2288,0,0,0,1,index_bent
0,2250,0,0,0,1,index_bent
0,2367,0,0,0,1,index_bent
0,2452,0,0,0,1,index_bent
0,2492,0,0,0,1,index_bent
0,2411,0,0,0,1,index_bent
0,2460,0,0,0,1,index_bent
0,2787,0,0,0,1,index_bent
0,2745,0,0,0,1,index_bent
0,2607,0,0,0,1,index_bent
0,2941,0,0,0,1,index_bent
0,2800,0,0,0,1,index_bent
0,2790,0,0,0,1,index_bent
0,2678,0,0,0,1,index_bent
0,2635,0,0,0,1,index_bent
0,2674,0,0,0,1,index_bent
0,2709,0,0,0,1,index_bent
0,2741,0,0,0,1,index_bent
0,3037,0,0,0,1,index_bent
0,3034,0,0,0,1,index_bent
0,2995,0,0,0,1,index_bent
0,2982,0,0,0,1,index_bent
0,2948,0,0,0,1,index_bent
0,2706,0,0,0,1,index_bent
0,2705,0,0,0,1,index_bent
0,2699,0,0,0,1,index_bent
0,2631,0,0,0,1,index_bent
0,2512,0,0,0,1,index_bent
0,2688,0,0,0,1,index_bent
0,2750,0,0,0,1,index_bent
0,2769,0,0,0,1,index_bent
0,2772,0,0,0,1,index_bent
0,2763,0,0,0,1,index_bent
0,2771,0,0,0,1,index_bent
0,2770,0,0,0,1,index_bent
0,2772,0,0,0,1,index_bent
0,2825,0,0,0,1,index_bent
0,2759,0,0,0,1,index_bent
0,2733,0,0,0,1,index_bent
0,2672,0,0,0,1,index_bent
0,2641,0,0,0,1,index_bent
0,2601,0,0,0,1,index_bent
0,2723,0,0,0,1,index_bent
0,2764,0,0,0,1,index_bent
0,2769,0,0,0,1,index_bent
0,2897,0,0,0,1,index_bent
0,2778,0,0,0,1,index_bent
0,2790,0,0,0,1,index_bent
0,2786,0,0,0,1,index_bent
0,2757,0,0,0,1,index_bent
0,2890,0,0,0,1,index_bent
0,2814,0,0,0,1,index_bent
0,2684,0,0,0,1,index_bent
0,2674,0,0,0,1,index_bent
